================ Training Loss (Fri Feb  1 06:04:15 2019) ================
(epoch: 1, iters: 100, time: 1.392, data: 0.343) D_A: 0.297 G_A: 0.397 cycle_A: 1.861 idt_A: 1.183 D_B: 0.329 G_B: 0.375 cycle_B: 2.318 idt_B: 0.898 
================ Training Loss (Fri Feb  1 06:07:39 2019) ================
================ Training Loss (Fri Feb  1 06:19:19 2019) ================
================ Training Loss (Fri Feb  1 06:23:04 2019) ================
================ Training Loss (Fri Feb  1 06:23:44 2019) ================
================ Training Loss (Fri Feb  1 06:24:37 2019) ================
================ Training Loss (Fri Feb  1 06:25:42 2019) ================
(epoch: 13, iters: 4, time: 1.386, data: 0.426) D_A: 0.563 G_A: 0.315 cycle_A: 3.222 idt_A: 0.409 D_B: 0.270 G_B: 0.350 cycle_B: 0.820 idt_B: 1.503 
(epoch: 25, iters: 8, time: 1.388, data: 0.004) D_A: 0.214 G_A: 0.318 cycle_A: 2.139 idt_A: 0.262 D_B: 0.180 G_B: 0.418 cycle_B: 0.605 idt_B: 0.942 
(epoch: 38, iters: 4, time: 1.389, data: 0.258) D_A: 0.239 G_A: 0.182 cycle_A: 0.898 idt_A: 0.267 D_B: 0.324 G_B: 0.352 cycle_B: 0.599 idt_B: 0.409 
(epoch: 50, iters: 8, time: 2.177, data: 0.002) D_A: 0.333 G_A: 0.110 cycle_A: 0.898 idt_A: 0.222 D_B: 0.472 G_B: 0.661 cycle_B: 0.534 idt_B: 0.474 
(epoch: 63, iters: 4, time: 1.387, data: 0.200) D_A: 0.167 G_A: 0.522 cycle_A: 1.256 idt_A: 0.206 D_B: 0.306 G_B: 0.232 cycle_B: 0.443 idt_B: 0.525 
(epoch: 75, iters: 8, time: 1.386, data: 0.006) D_A: 0.414 G_A: 0.725 cycle_A: 0.557 idt_A: 0.188 D_B: 0.131 G_B: 0.517 cycle_B: 0.397 idt_B: 0.258 
(epoch: 88, iters: 4, time: 1.381, data: 0.194) D_A: 0.163 G_A: 0.306 cycle_A: 1.476 idt_A: 0.216 D_B: 0.213 G_B: 0.344 cycle_B: 0.472 idt_B: 0.630 
(epoch: 100, iters: 8, time: 2.569, data: 0.003) D_A: 0.305 G_A: 0.496 cycle_A: 0.743 idt_A: 0.209 D_B: 0.127 G_B: 0.379 cycle_B: 0.479 idt_B: 0.300 
(epoch: 113, iters: 4, time: 1.391, data: 0.218) D_A: 0.216 G_A: 0.625 cycle_A: 2.929 idt_A: 0.297 D_B: 0.084 G_B: 0.424 cycle_B: 0.639 idt_B: 0.784 
(epoch: 125, iters: 8, time: 1.385, data: 0.005) D_A: 0.238 G_A: 0.707 cycle_A: 0.728 idt_A: 0.179 D_B: 0.252 G_B: 0.193 cycle_B: 0.387 idt_B: 0.342 
(epoch: 138, iters: 4, time: 1.388, data: 0.164) D_A: 0.257 G_A: 0.597 cycle_A: 1.219 idt_A: 0.262 D_B: 0.191 G_B: 1.319 cycle_B: 0.687 idt_B: 0.305 
